Name,"RA (J2000, deg)","Dec (J2000, deg)",objType,Ref,z,zType,zRef,Targeted,N_Observaciones
CFHQS J15096-1749,227.4240388,-17.8241321,QSO type1-BL,Millquas,6.1225,S1L,2022ApJ...941..106F,True,4
PSO J065.5041-19.4579,65.5041766,-19.4579754,QSO type1-BL,Millquas,6.1247,S1L,2022ApJ...941..106F,True,1
HSCJ1254-0014,193.6545,-0.2363056,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.13,S1L,2019ApJ...883..183M,True,4
HSC J1440-0107,220.0054167,-1.1172778,QSO type1-BL,Millquas,6.13,S1L,2018PASJ...70S..35M,True,4
HSC J1423-0018,215.882125,-0.3025278,QSO type1-BL,Millquas,6.13,S1L,2018PASJ...70S..35M,True,5
DES J032021.44-352104.1,50.089335,-35.351148,QSO type1-BL-R,Millquas,6.13,MLS,2023MNRAS.519.2060I,True,1
HSCJ1423-0018,215.882125,-0.3025278,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.13,S1L,2018PASJ...70S..35M,True,4
HSC J125437.08-001410.7,193.6545,-0.2363056,QSO-NL,Millquas,6.13,S1L,2019ApJ...883..183M,True,5
HSC J151657.87+422852.9,229.241125,42.4813612,QSO type1-BL,Millquas,6.13,S1L,2019ApJ...883..183M,True,4
CFHQS J00331-0125,8.297574,-1.423725,QSO type1-BL,Millquas,6.13,S,2007AJ 132435....1O,True,1
HSC J000133.30+000605.4,0.388773,0.101465,QSO type1-BL,Millquas,6.13,S1L,2019ApJ...883..183M,True,1
ULAS J1319+0950,199.7970476,9.8476398,QSO type1-BL,Millquas,6.1336,SLS,2022A&A...662A..60D,True,6
SDSS J125051.93+313021.9,192.7163262,31.5060647,QSO type1-BL,Millquas,6.138,S1L,2022ApJ...941..106F,True,4
PSO J210.4472+27.8263,210.4472429,27.8264188,QSO type1-BL,Millquas,6.14,S,,True,4
PSO J217.9185-07.4120,217.9185296,-7.4120826,QSO type1-BL,Millquas,6.14,S,,True,4
ULAS J0828+2633,127.055875,26.5654139,QSO type1-BL,Millquas,6.14,SUN,2023ApJ...943...67S,True,1
PSO J065.4085-26.9543,65.4085396,-26.954371,QSO type1-BL,Millquas,6.14,S,,True,1
HSC J144823.33+433305.9,222.0972084,43.5516389,QSO type1-BL,Millquas,6.14,S1L,2019ApJ...883..183M,True,4
VIK J2318-3029,349.6379167,-30.4926028,QSO type1-BL,Millquas,6.146,S,,True,4
VIMOS2911001793,334.82175,1.0469167,QSO type1-BL,Millquas,6.1492,S1L,2017ApJ...850..108W,True,4
PSO J334.0181-05.0048,334.0181667,-5.0048834,QSO type1-BL,Millquas,6.15,SUN,2023ApJ...943...67S,True,4
HSC J0909+0440,137.3395834,4.6785834,QSO type1-BL,Millquas,6.15,S1L,2022MNRAS.517.1264L,True,4
HSC J0834+0211,128.5036667,2.1963612,QSO type1-BL,Millquas,6.15,S1L,2022MNRAS.517.1264L,True,4
PSO J359.1352-06.3831,359.1352135,-6.3831409,QSO type1-BL,Millquas,6.15,S,,True,1003
HSC J134733.69-015750.6,206.890375,-1.9640556,QSO type1-BL,Millquas,6.15,S1L,2019ApJ...883..183M,True,4
DELS J084303.76+291113.4,130.7656415,29.1870125,QSO type1-BL,Millquas,6.15,S1L,2019ApJ...884...30W,True,4
DELS J154825.40+005015.5,237.105821,0.8375874,QSO type1-BL,Millquas,6.15,S1L,2019ApJ...884...30W,True,1
CFHQS J2229+1457,337.256875,14.9525,QSO type1-BL,Millquas,6.1517,S1L,2022ApJ...941..106F,True,1
HSC J2201+0155,330.383625,1.9247223,QSO type1-BL,Millquas,6.16,S1L,2018PASJ...70S..35M,True,4
SDSS J160937.27+304147.7,242.4052917,30.6966056,QSO type1-BL,Millquas,6.16,S,2016ApJ...833..222J,True,1
HSC J1146-0154,176.6360834,-1.9106389,QSO type1-BL,Millquas,6.16,S1L,2022MNRAS.517.1264L,True,4
CFHQS J0221-0802,35.344642,-8.047685,QSO type1-BL,Millquas,6.161,S1L,2017ApJ...850..108W,True,4
PSO J060.5529+24.8567,60.5528905,24.8567736,QSO type1-BL,Millquas,6.17,S1L,2022MNRAS.513.1801L,True,4
PSO J043.1111-02.6224,43.11116,-2.62245,QSO type1-BL,Millquas,6.17,SUN,2023ApJS..265...29B,True,1
HSC J2232+0012,338.050125,0.2106667,QSO type1-BL,Millquas,6.18,S1L,2018PASJ...70S..35M,True,5
HSC J225520.78+050343.3,343.8365834,5.0620278,QSO type1-BL,Millquas,6.18,S1L,2019ApJ...883..183M,True,4
HSC J0844-0132,131.035875,-1.5379167,QSO type1-BL,Millquas,6.18,S1L,2022MNRAS.517.1264L,True,29
HSC J1425-0015,216.3238334,-0.2613612,QSO type1-BL,Millquas,6.18,S1L,2018PASJ...70S..35M,True,29
PSO J281.3361+53.7631,281.3361667,53.76315,QSO type1-BL,Millquas,6.18,SUN,2023ApJS..269...27Y,True,1
