#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
483,580,51924,0.1734871,0,25.55298,2.735002,967.7014,7.965885,327.8732,5.751898,52.83649,3.451076,48.57941,3.190788,50.03539,1.21022,150.9183,3.6503,156.1724,7.371935,123.8743,7.118602
550,535,51959,0.03919747,0,129.0445,6.702577,2699.557,21.04806,843.4079,11.03136,179.5406,6.092535,143.683,5.86549,249.0676,4.210861,751.2452,12.70092,230.1818,10.33375,171.2135,10.11933
820,600,52438,0.09815171,0,15.9657,2.286536,298.0386,4.377027,96.61458,2.823548,29.54945,1.921628,24.62355,2.003181,51.71576,1.136708,155.9867,3.428571,37.34819,3.923965,45.18248,3.984332
1169,485,52753,0.2342092,0,21.08313,3.330046,1273.539,9.62507,399.8986,5.268609,84.29271,11.16841,121.8975,5.703276,163.4302,2.195892,492.9433,6.623311,169.9927,8.248389,124.244,8.02711
1170,162,52756,0.0844035,0,39.61798,5.600566,255.7494,6.960042,54.52801,5.558733,76.87953,5.447509,60.26347,5.08908,152.0837,3.187577,458.7196,9.614458,74.78804,11.39803,62.74324,11.17703
1170,300,52756,0.07159909,0,40.73455,4.661963,915.0523,10.92997,295.6479,6.623012,104.3619,4.126115,87.6135,3.938649,93.4802,2.055796,281.9579,6.200749,230.0946,9.780794,189.0855,9.578801
1170,398,52756,0.0440169,0,45.39467,5.179336,642.1574,9.680965,195.036,6.55483,114.9377,6.118975,106.3867,6.072931,121.4607,2.983512,366.3535,8.998953,104.8474,8.75628,116.8497,8.978869
1628,172,53474,0.1038685,0,41.92111,3.481131,711.5504,7.061316,211.5806,4.355969,47.94087,2.897451,39.50096,3.195983,60.34729,1.5995,182.0213,4.824457,65.69717,6.257843,78.39082,6.284971
1628,378,53474,0.2530025,0,71.41563,3.768826,1756.102,10.50203,569.1185,5.845394,38.34215,6.910028,48.06572,6.834269,94.83211,2.136869,286.0355,6.445285,171.1626,7.706475,180.0544,7.824382
2036,430,53446,0.1148618,0,26.60587,2.934559,536.6055,7.523697,174.8926,4.088593,43.92044,2.43419,29.3813,2.249271,54.89494,1.538702,165.5758,4.641077,87.03764,5.483015,99.97491,5.676842
2037,114,53446,0.2268893,0,26.42907,2.746094,625.464,6.347972,199.7852,3.76417,36.94237,3.162106,32.19552,3.043335,66.40041,1.438439,200.279,4.338659,67.87057,4.418625,47.9127,4.205248
2161,557,53878,0.2538877,0,43.69473,7.395173,837.3942,11.25305,224.4569,8.482587,47.42893,6.948872,36.75225,6.380681,195.4131,4.022033,589.4111,12.13137,101.0004,12.31483,63.68018,12.16624
2348,612,53757,0.04895768,0,98.38265,7.60149,1437.368,15.72514,400.1535,9.415385,149.876,6.734306,135.6681,6.550664,307.0959,5.681576,926.272,17.13693,185.9643,12.62312,118.4658,12.31107
2349,60,53734,0.1735729,0,19.0969,2.654956,319.335,4.930352,97.78271,3.641674,59.80315,3.509258,50.95392,3.045645,103.1165,1.571238,311.0231,4.739213,93.7635,5.496164,105.3843,5.587522
2350,530,53765,0.09768989,0,50.80959,3.785525,1064.357,10.14444,315.3756,5.649858,54.92139,3.65687,71.26762,3.488758,108.9151,2.268277,328.513,6.84164,74.18987,6.805509,85.89756,6.901576
2351,35,53786,0.2191801,0,13.66611,2.320142,411.3239,4.263236,132.948,2.603245,23.53522,2.248736,17.43359,2.039954,40.06878,1.254932,120.8567,3.785159,52.66376,3.706656,59.00268,3.70898
2352,535,53770,0.1025553,0,30.58967,2.808502,741.425,7.417078,234.4764,4.411153,121.39,3.825374,108.3464,3.449482,125.3521,1.672061,378.0908,5.043316,141.5434,5.749913,91.18574,5.530488
2353,509,53794,0.08497884,0,33.70812,4.215025,360.8195,6.359025,102.1419,4.675173,110.9594,4.779656,85.67944,4.624643,193.5863,2.955832,583.9009,8.915462,76.63218,8.143104,160.8617,8.28826
2354,123,53799,0.06026049,0,55.89646,7.138182,1010.792,13.31953,276.2838,8.301214,236.8725,6.738438,183.1246,6.297318,263.971,5.059158,796.1974,15.25957,378.5522,14.20731,248.9252,13.36368
2355,105,53792,0.0551085,0,139.7291,7.183752,1897.624,16.29961,571.196,10.09206,84.48914,5.62526,80.67106,5.492449,252.1468,4.673208,760.533,14.09546,145.9125,11.90771,118.2017,12.01772
2355,341,53792,0.1035132,0,26.14461,4.60727,806.0708,8.890749,244.5795,6.069466,104.8826,5.039489,92.06447,5.052513,216.7895,2.710283,653.8873,8.174829,139.021,8.199995,68.5332,8.002952
2356,25,53786,0.07582421,0,71.86649,7.183021,506.153,9.637891,120.3266,7.377785,168.715,6.790882,139.5441,7.23464,321.9663,5.166427,971.1246,15.58312,173.3433,13.6893,143.3293,13.55006
