plate,fiberid,z,T_e,N_e,chi2,chi2_red,dof,success,hit_bound
498.0,72.0,0.1988256,18400.62106915539,1121.2100073839981,1.7121637438705566,1.7121637438705566,1,True,False
498.0,321.0,0.1969083,47721.314715880944,415.5448161355028,2.7231619672844753,2.7231619672844753,1,True,False
567.0,387.0,0.2077811,33421.24228812778,1988.3491287339452,0.8404396355733335,0.8404396355733335,1,True,False
568.0,14.0,0.09663435,14719.758857290359,818.7598438514345,3.2142302811940677,3.2142302811940677,1,True,False
768.0,390.0,0.1513117,17193.65778260347,285.13690635833626,0.1373485910973823,0.1373485910973823,1,True,False
1036.0,148.0,0.2088531,21414.6369630655,1295.9462373102801,0.0011995550709028796,0.0011995550709028796,1,True,False
1651.0,620.0,0.03571216,33799.424335946074,1054.0528222689597,1.4910378970877034,1.4910378970877034,1,True,False
308.0,115.0,0.138599,36017.045317110314,227.55660162911127,0.283648744544869,0.283648744544869,1,True,False
308.0,296.0,0.2915081,19913.09501687708,2046.7918263128224,1.61352348281444,1.61352348281444,1,True,False
308.0,546.0,0.08045062,23429.104754690557,324.91349288318963,0.03742834585549264,0.03742834585549264,1,True,False
1712.0,440.0,0.1593742,34291.01105259399,633.0417127733375,0.6063775205213771,0.6063775205213771,1,True,False
2570.0,138.0,0.05326737,25795.39988425048,729.0123869682318,2.209281821414616,2.209281821414616,1,True,False
564.0,431.0,0.0638359,17125.41243296719,408.5915673717386,1.5401113125979062,1.5401113125979062,1,True,False
564.0,508.0,0.1068865,36430.8327297463,695.5405662909297,3.998428601734895,3.998428601734895,1,True,False
769.0,298.0,0.08548771,30064.196965277704,384.0136923118627,2.820358534731945,2.820358534731945,1,True,False
911.0,283.0,0.08525516,26722.3802700981,523.5071214555347,0.24931288705873927,0.24931288705873927,1,True,False
911.0,333.0,0.1513289,25606.405689508174,1164.0052462065712,0.8059432463782348,0.8059432463782348,1,True,False
975.0,192.0,0.2107578,19198.8368886807,187.59391921448315,0.38697467199924757,0.38697467199924757,1,True,False
975.0,426.0,0.2268774,42077.44401651345,781.7251179592786,4.693416140237301,4.693416140237301,1,True,False
1718.0,526.0,0.09897314,28710.02618815515,787.3859073056137,3.2896039751877444,3.2896039751877444,1,True,False
1785.0,137.0,0.142299,22312.16440199312,522.3940650399475,0.22809600735210825,0.22809600735210825,1,True,False
1992.0,577.0,0.06838022,23010.31839449206,637.4327932936725,3.8415108847219055,3.8415108847219055,1,True,False
2124.0,233.0,0.1298672,17008.73031300067,1356.7587310537888,0.7635819033876258,0.7635819033876258,1,True,False
639.0,179.0,0.26011,37804.099999169426,362.2736219377524,1.140090819359339,1.140090819359339,1,True,False
1347.0,446.0,0.2149628,38361.09814186663,1595.3284846808813,0.2317718036651398,0.2317718036651398,1,True,False
1417.0,332.0,0.1633669,21045.557611127584,874.766372285429,0.23184659748539346,0.23184659748539346,1,True,False
1783.0,491.0,0.2830327,39465.349234069035,1382.2073987611084,0.050855489172729196,0.050855489172729196,1,True,False
1846.0,414.0,0.1261915,40546.165684750325,1555.8095535392786,0.04799821747031973,0.04799821747031973,1,True,False
2583.0,441.0,0.1378382,37997.3124899338,798.2365878032497,0.22402527042085327,0.22402527042085327,1,True,False
2583.0,476.0,0.2680578,31952.696647340705,1077.074704509628,0.34357103262567446,0.34357103262567446,1,True,False
2585.0,197.0,0.2829038,19840.98184875926,424.67233601055864,0.21769536714263163,0.21769536714263163,1,True,False
2587.0,219.0,0.1412475,19320.939741900835,1058.8564624731498,2.6494471399972,2.6494471399972,1,True,False
503.0,585.0,0.06992867,29710.03632184195,754.3353054491673,1.3254388384852696,1.3254388384852696,1,True,False
1851.0,627.0,0.08764245,31684.98771722042,1538.6932474477267,0.43511038023032506,0.43511038023032506,1,True,False
2588.0,542.0,0.1433991,30174.812454211926,71.98507708888128,4.627251104791971,4.627251104791971,1,True,False
2591.0,485.0,0.105891,28564.721344748,759.2157883126976,0.20589506816505443,0.20589506816505443,1,True,False
2594.0,154.0,0.1128763,31292.837721582793,691.9381782615119,0.00015154747829348222,0.00015154747829348222,1,True,False
2595.0,591.0,0.1484291,24269.168448815886,1299.9301113767585,0.02761987389244462,0.02761987389244462,1,True,False
542.0,39.0,0.1915011,24315.37135903147,207.59783768467693,1.9996247468900339,1.9996247468900339,1,True,False
675.0,593.0,0.05378426,24206.93756821915,655.6557555265524,4.054821773268161,4.054821773268161,1,True,False
826.0,266.0,0.08381648,15601.94938429684,1022.6392550040863,0.2653779540558661,0.2653779540558661,1,True,False
962.0,197.0,0.06329979,29393.511193083647,1522.5063776870734,0.007559952714338045,0.007559952714338045,1,True,False
962.0,349.0,0.1007588,29492.742860114402,154.05825670540608,0.7108181765805048,0.7108181765805048,1,True,False
1398.0,409.0,0.1239131,24024.962282344615,844.9946860724319,0.4782370680959248,0.4782370680959248,1,True,False
1398.0,470.0,0.09467856,24229.69096693089,2838.0327386059394,1.8173193662714802,1.8173193662714802,1,True,False
1776.0,361.0,0.1967226,30130.385736811284,2389.724383076589,0.043896564755949725,0.043896564755949725,1,True,False
1776.0,535.0,0.2805369,24822.432459161053,1895.4856635389585,0.8974073293934111,0.8974073293934111,1,True,False
